id,recommendation,level,contributing_factor,cod,urbanicity,race_eth,timing
54,"Primary care and obstetric providers should discuss preconception planning with all patients, including those with a history of chronic medical illness and/ or a history of preeclampsia in previous pregnancies",Provider,Chronic Conditions,Cardiovascular Conditions,Rural,NHW,Pregnant at time of death
55,Providers should always arrange for in_x0002_person postpartum visits for high-risk patients or as soon as possible if abnormal findings (such as high blood pressure) are encountered during televisits,Provider,Other,Cardiovascular Conditions,Urban,NH_AIAN,Pregnant at time of death
56,Providers should offer telehealth as an option when patients have transportation issues or other barriers that may prevent them from accessing care,Provider,Other,Cardiovascular Conditions,Urban,NH_Asian,Pregnant at time of death
57,"Providers should educate patients with chronic heart disease and obesity about warning signs and symptoms of heart disease and pulmonary embolism (for example, severe chest pain, shortness of breath) and when to call 911 or present to emergency room in the patient’s preferred language and in a culturally relevant manner",Provider,Chronic Conditions,Cardiovascular Conditions,Urban,NH_Asian,Day of delivery
58,"Primary care, nurse midwives, and other obstetric providers should refer all pregnant patients with history of cardiac disease to maternal fetal medicine immediately",Provider,Referral,Cardiovascular Conditions,Urban,NHW,Day of delivery
59,"Providers should follow ACOG recommendations for treating patients with obesity and cardiac history, including considering an early epidural to avoid pushing for an extended period of time",Provider,Policy/Procedures,Cardiovascular Conditions,Urban,NHW,Day of delivery
60,"Hospitals should have systematic processes in place for acute and aggressive management of severe hypertension during pregnancy (for example, participate in state Perinatal Quality Collaborative (PQC) around hypertension)",Facility,Policy/Procedures,Cardiovascular Conditions,Urban,NHW,Day of delivery
61,"Facilities should use Hear Her campaign materials to educate providers, patients, and families in their waiting areas and exam rooms.",Facility,Outreach,Cardiovascular Conditions,Urban,Hispanic,7-42 days after end of pregnancy
62,"Clinics and hospitals should ensure patients and support people understand discharge plans, especially in urgent situations or when directed to return to the emergency department",Facility,Clinical Skill/Quality of Care,Cardiovascular Conditions,Urban,Hispanic,7-42 days after end of pregnancy
63,Emergency departments should have additional training in management of cardiac and hypertensive disorders in pregnancy,Facility,Knowledge,Cardiovascular Conditions,Urban,NHW,7-42 days after end of pregnancy
64,Emergency departments should increase staffing to meet the need of the community,Facility,Other,Cardiovascular Conditions,Urban,NHW,43 days- 1 year after pregnancy
65,Facilities should include instructions for patients to report their pregnancy history if presenting to the emergency department in the next year in discharge planning,Facility,Policy/Procedures,Cardiovascular Conditions,Urban,NHW,43 days- 1 year after pregnancy
66,"Hospitals should have systematic processes in place for acute and aggressive management of severe hypertension during pregnancy (for example, participate in state Perinatal Quality Collaborative (PQC) around hypertension)",Facility,Clinical Skill/Quality of Care,Hypertensive Disorders of Pregnancy,Urban,NH_Asian,43 days- 1 year after pregnancy
67,Hospital and health care administrators should continue to explore ways to make individuals with obesity comfortable in health care settings even before pregnancy so that if they do become pregnant there will already be trust established,Facility,Clinical Skill/Quality of Care,Cardiovascular Conditions,Urban,NH_AIAN,43 days- 1 year after pregnancy
68,Facilities should embed maternal early warning signs criteria and alerts in clinical health records to alert providers of early signs and encourage closer monitoring or other actions,Facility,Policy/Procedures,Cardiovascular Conditions,Urban,NHB,43 days- 1 year after pregnancy
